,SEC_NAME,EXE_MODE,EXE_PRICE,EXE_ENDDATE,CLOSE
2018/9/4,50ETF购9月2500,认购,2.5,2018/9/26 0:00,0.0879
2018/9/4,50ETF购9月2350,认购,2.35,2018/9/26 0:00,0.2077
2018/9/4,50ETF购9月3500,认购,3.5,2018/9/26 0:00,0.0003
2018/9/4,50ETF沽9月2900,认沽,2.9,2018/9/26 0:00,0.343
2018/9/4,50ETF购9月2700,认购,2.7,2018/9/26 0:00,0.0103
2018/9/4,50ETF沽9月3300,认沽,3.3,2018/9/26 0:00,0.742
2018/9/4,50ETF沽9月2650,认沽,2.65,2018/9/26 0:00,0.1191
2018/9/4,50ETF沽9月2700,认沽,2.7,2018/9/26 0:00,0.1585
2018/9/4,50ETF沽9月3000,认沽,3,2018/9/26 0:00,0.4459
2018/9/4,50ETF沽9月2450,认沽,2.45,2018/9/26 0:00,0.0219
2018/9/4,50ETF购9月3600,认购,3.6,2018/9/26 0:00,0.0004
2018/9/4,50ETF购9月2600,认购,2.6,2018/9/26 0:00,0.0377
2018/9/4,50ETF沽9月2850,认沽,2.85,2018/9/26 0:00,0.2955
2018/9/4,50ETF购9月2550,认购,2.55,2018/9/26 0:00,0.059
2018/9/4,50ETF购9月3400,认购,3.4,2018/9/26 0:00,0.0003
2018/9/4,50ETF沽9月3100,认沽,3.1,2018/9/26 0:00,0.5451
2018/9/4,50ETF购9月2650,认购,2.65,2018/9/26 0:00,0.0206
2018/9/4,50ETF购9月2900,认购,2.9,2018/9/26 0:00,0.0007
2018/9/4,50ETF购9月3100,认购,3.1,2018/9/26 0:00,0.0004
2018/9/4,50ETF购9月3300,认购,3.3,2018/9/26 0:00,0.0003
2018/9/4,50ETF沽9月2500,认沽,2.5,2018/9/26 0:00,0.0359
2018/9/4,50ETF沽9月2800,认沽,2.8,2018/9/26 0:00,0.2486
2018/9/4,50ETF沽9月2950,认沽,2.95,2018/9/26 0:00,0.3921
2018/9/4,50ETF购9月2450,认购,2.45,2018/9/26 0:00,0.1232
2018/9/4,50ETF购9月2400,认购,2.4,2018/9/26 0:00,0.1641
2018/9/4,50ETF购9月3000,认购,3,2018/9/26 0:00,0.0005
2018/9/4,50ETF沽9月3500,认沽,3.5,2018/9/26 0:00,0.9443
2018/9/4,50ETF购9月2950,认购,2.95,2018/9/26 0:00,0.0005
2018/9/4,50ETF沽9月3400,认沽,3.4,2018/9/26 0:00,0.8453
2018/9/4,50ETF购9月2200,认购,2.2,2018/9/26 0:00,0.351
2018/9/4,50ETF沽9月2400,认沽,2.4,2018/9/26 0:00,0.0118
2018/9/4,50ETF购9月2250,认购,2.25,2018/9/26 0:00,0.304
2018/9/4,50ETF购9月3200,认购,3.2,2018/9/26 0:00,0.0003
2018/9/4,50ETF购9月2800,认购,2.8,2018/9/26 0:00,0.0019
2018/9/4,50ETF沽9月3600,认沽,3.6,2018/9/26 0:00,1.0452
2018/9/4,50ETF沽9月2350,认沽,2.35,2018/9/26 0:00,0.0065
2018/9/4,50ETF沽9月2250,认沽,2.25,2018/9/26 0:00,0.0015
2018/9/4,50ETF购9月2850,认购,2.85,2018/9/26 0:00,0.0012
