DATE,CODE,SEC_NAME,EXE_MODE,EXE_PRICE,涨跌额,涨跌幅,成交量,成交额(万),持仓量,行权价,EXE_ENDDATE,持仓量,日增,昨收,今开
2018/9/5,10001281,50ETF购9月2500,认购,0.0538,-0.0341,-38.79%,100642,69919354,68481,2.5,2018/9/26 0:00,10022,0.0879,0.0831,
2018/9/5,10001367,50ETF购9月2350,认购,0.1524,-0.0553,-26.62%,6916,12591163,9530,2.35,2018/9/26 0:00,-286,0.2077,0.2003,
2018/9/5,10001218,50ETF购9月3500,认购,0.0003,0,0.00%,419,1372,19926,3.5,2018/9/26 0:00,61,0.0003,0.0004,
2018/9/5,10001220,50ETF沽9月2900,认沽,0.4083,0.0583,16.66%,618,2385732,1806,2.9,2018/9/26 0:00,-8,0.35,0.3554,
2018/9/5,10001243,50ETF购9月2700,认购,0.0052,-0.0051,-49.51%,40114,3097462,87738,2.7,2018/9/26 0:00,5168,0.0103,0.0095,
2018/9/5,10001225,50ETF沽9月3300,认沽,0.8074,0.0574,7.65%,179,1401877,1496,3.3,2018/9/26 0:00,3,0.75,0.7537,
2018/9/5,10001245,50ETF沽9月2650,认沽,0.1715,0.0524,44.00%,20919,30044236,14542,2.65,2018/9/26 0:00,412,0.1191,0.1215,
2018/9/5,10001246,50ETF沽9月2700,认沽,0.214,0.0555,35.02%,10477,19533014,8926,2.7,2018/9/26 0:00,107,0.1585,0.1652,
2018/9/5,10001222,50ETF沽9月3000,认沽,0.5019,0.0519,11.53%,405,1926954,1009,3,2018/9/26 0:00,7,0.45,0.4529,
2018/9/5,10001312,50ETF沽9月2450,认沽,0.0413,0.0194,88.58%,78583,23854744,69671,2.45,2018/9/26 0:00,3290,0.0219,0.0233,
2018/9/5,10001219,50ETF购9月3600,认购,0.0004,0.0001,33.33%,1384,6362,47596,3.6,2018/9/26 0:00,-289,0.0003,0.0005,
2018/9/5,10001241,50ETF购9月2600,认购,0.0202,-0.0175,-46.42%,106132,30601878,122591,2.6,2018/9/26 0:00,16308,0.0377,0.0348,
2018/9/5,10001230,50ETF沽9月2850,认沽,0.3524,0.0524,17.47%,343,1135881,1934,2.85,2018/9/26 0:00,30,0.3,0.3035,
2018/9/5,10001275,50ETF购9月2550,认购,0.0344,-0.0246,-41.69%,134226,62107402,96177,2.55,2018/9/26 0:00,13887,0.059,0.0557,
2018/9/5,10001217,50ETF购9月3400,认购,0.0003,0,0.00%,105,468,14927,3.4,2018/9/26 0:00,-14,0.0003,0.0004,
2018/9/5,10001223,50ETF沽9月3100,认沽,0.6085,0.0585,10.64%,608,3513962,1512,3.1,2018/9/26 0:00,146,0.55,0.5541,
2018/9/5,10001242,50ETF购9月2650,认购,0.0108,-0.0098,-47.57%,61174,9557366,73872,2.65,2018/9/26 0:00,4754,0.0206,0.0191,
2018/9/5,10001211,50ETF购9月2900,认购,0.0005,-0.0002,-28.57%,793,5175,26948,2.9,2018/9/26 0:00,159,0.0007,0.0008,
2018/9/5,10001214,50ETF购9月3100,认购,0.0005,0.0001,25.00%,746,4004,18532,3.1,2018/9/26 0:00,138,0.0004,0.0003,
2018/9/5,10001216,50ETF购9月3300,认购,0.0004,0.0001,33.33%,23,77,9431,3.3,2018/9/26 0:00,-3,0.0003,0.0004,
2018/9/5,10001282,50ETF沽9月2500,认沽,0.065,0.0291,81.06%,106719,51837302,63654,2.5,2018/9/26 0:00,-5376,0.0359,0.0398,
2018/9/5,10001232,50ETF沽9月2800,认沽,0.3094,0.0594,23.76%,1095,3105846,1447,2.8,2018/9/26 0:00,-40,0.25,0.2536,
2018/9/5,10001221,50ETF沽9月2950,认沽,0.4576,0.0576,14.40%,391,1683677,760,2.95,2018/9/26 0:00,-2,0.4,0.4045,
2018/9/5,10001311,50ETF购9月2450,认购,0.0792,-0.044,-35.71%,34983,35406011,30138,2.45,2018/9/26 0:00,2633,0.1232,0.1213,
2018/9/5,10001357,50ETF购9月2400,认购,0.1128,-0.0513,-31.26%,24015,33432763,17507,2.4,2018/9/26 0:00,-784,0.1641,0.1588,
2018/9/5,10001213,50ETF购9月3000,认购,0.0005,0,0.00%,955,4966,24364,3,2018/9/26 0:00,-363,0.0005,0.0005,
2018/9/5,10001227,50ETF沽9月3500,认沽,1.0049,0.0549,5.78%,225,2185307,1722,3.5,2018/9/26 0:00,5,0.95,0.9529,
2018/9/5,10001212,50ETF购9月2950,认购,0.0006,0.0001,20.00%,598,3623,15852,2.95,2018/9/26 0:00,-85,0.0005,0.0006,
2018/9/5,10001226,50ETF沽9月3400,认沽,0.9077,0.0577,6.79%,188,1661980,1489,3.4,2018/9/26 0:00,-56,0.85,0.8535,
2018/9/5,10001409,50ETF购9月2200,认购,0.2901,-0.0609,-17.35%,2126,6872245,4880,2.2,2018/9/26 0:00,82,0.351,0.3475,
2018/9/5,10001358,50ETF沽9月2400,认沽,0.0251,0.0133,112.71%,70099,12523794,75602,2.4,2018/9/26 0:00,-2746,0.0118,0.0128,
2018/9/5,10001381,50ETF购9月2250,认购,0.244,-0.06,-19.74%,1461,3900694,1542,2.25,2018/9/26 0:00,-50,0.304,0.2963,
2018/9/5,10001215,50ETF购9月3200,认购,0.0003,0,0.00%,758,3012,14523,3.2,2018/9/26 0:00,-167,0.0003,0.0003,
2018/9/5,10001231,50ETF购9月2800,认购,0.0011,-0.0008,-42.11%,8485,134091,41369,2.8,2018/9/26 0:00,-520,0.0019,0.0015,
2018/9/5,10001228,50ETF沽9月3600,认沽,1.106,0.056,5.33%,379,4123671,5118,3.6,2018/9/26 0:00,-25,1.05,1.0568,
2018/9/5,10001368,50ETF沽9月2350,认沽,0.0138,0.0073,112.31%,45313,4249846,68547,2.35,2018/9/26 0:00,5832,0.0065,0.0065,
2018/9/5,10001382,50ETF沽9月2250,认沽,0.0039,0.0024,160.00%,12413,282838,56764,2.25,2018/9/26 0:00,1244,0.0015,0.0015,
2018/9/5,10001229,50ETF购9月2850,认购,0.0008,-0.0004,-33.33%,3770,33246,30690,2.85,2018/9/26 0:00,24,0.0012,0.001,
2018/9/5,10001244,50ETF沽9月2600,认沽,0.1299,0.0455,53.91%,48370,51031563,44678,2.6,2018/9/26 0:00,4850,0.0844,0.0874,
2018/9/5,10001376,50ETF沽9月2300,认沽,0.0072,0.0042,140.00%,27415,1307824,65730,2.3,2018/9/26 0:00,1053,0.003,0.0031,
2018/9/5,10001234,50ETF沽9月2750,认沽,0.2613,0.0602,29.94%,2655,6115298,4552,2.75,2018/9/26 0:00,-42,0.2011,0.2088,
2018/9/5,10001233,50ETF购9月2750,认购,0.0024,-0.0024,-50.00%,23061,845085,59027,2.75,2018/9/26 0:00,3611,0.0048,0.0041,
2018/9/5,10001276,50ETF沽9月2550,认沽,0.0951,0.0378,65.97%,91558,66620007,48695,2.55,2018/9/26 0:00,-7915,0.0573,0.0623,
2018/9/5,10001375,50ETF购9月2300,认购,0.1941,-0.0597,-23.52%,2586,5847844,4462,2.3,2018/9/26 0:00,-251,0.2538,0.2499,
2018/9/5,10001410,50ETF沽9月2200,认沽,0.0019,0.0009,90.00%,7176,102078,44744,2.2,2018/9/26 0:00,-306,0.001,0.0012,
2018/9/5,10001224,50ETF沽9月3200,认沽,0.7074,0.0574,8.83%,575,3877390,1021,3.2,2018/9/26 0:00,118,0.65,0.6537,
2018/9/5,10001459,50ETF沽10月2650,认沽,0.184,0.0485,35.79%,2144,3437880,2140,2.65,2018/10/24 0:00,809,0.1355,0.1394,
2018/9/5,10001455,50ETF沽10月2450,认沽,0.0638,0.0251,64.86%,4690,2504948,6922,2.45,2018/10/24 0:00,889,0.0387,0.0408,
2018/9/5,10001458,50ETF沽10月2600,认沽,0.1458,0.0404,38.33%,3588,4460558,4707,2.6,2018/10/24 0:00,236,0.1054,0.1098,
2018/9/5,10001462,50ETF沽10月2750,认沽,0.2655,0.0535,25.24%,1015,2399181,1202,2.75,2018/10/24 0:00,-16,0.212,0.2162,
2018/9/5,10001447,50ETF购10月2500,认购,0.0814,-0.0321,-28.28%,9991,9660481,8602,2.5,2018/10/24 0:00,2504,0.1135,0.1123,
2018/9/5,10001456,50ETF沽10月2500,认沽,0.0869,0.03,52.72%,9453,6829646,7821,2.5,2018/10/24 0:00,476,0.0569,0.0593,
2018/9/5,10001457,50ETF沽10月2550,认沽,0.1147,0.0359,45.56%,8790,8480124,7119,2.55,2018/10/24 0:00,1243,0.0788,0.082,
2018/9/5,10001453,50ETF沽10月2350,认沽,0.031,0.0132,74.16%,9142,2174011,7292,2.35,2018/10/24 0:00,1585,0.0178,0.0184,
2018/9/5,10001444,50ETF购10月2350,认购,0.175,-0.05,-22.22%,2060,4104073,1730,2.35,2018/10/24 0:00,292,0.225,0.2153,
2018/9/5,10001445,50ETF购10月2400,认购,0.1388,-0.0446,-24.32%,2384,3849103,6007,2.4,2018/10/24 0:00,279,0.1834,0.1791,
2018/9/5,10001454,50ETF沽10月2400,认沽,0.0451,0.0191,73.46%,6458,2298343,7019,2.4,2018/10/24 0:00,131,0.026,0.0269,
2018/9/5,10001448,50ETF购10月2550,认购,0.0601,-0.0253,-29.63%,10906,7860768,8953,2.55,2018/10/24 0:00,1639,0.0854,0.0843,
2018/9/5,10001452,50ETF沽10月2300,认沽,0.02,0.0091,83.49%,10086,1486514,16994,2.3,2018/10/24 0:00,4423,0.0109,0.0113,
2018/9/5,10001449,50ETF购10月2600,认购,0.0427,-0.0196,-31.46%,13296,6831923,13856,2.6,2018/10/24 0:00,5974,0.0623,0.0598,
