交易日期,收盘-沪深300,涨跌幅(%)-沪深300￼,融资-余额(元),融资余额占流通市值比,融资买入额(元),融资偿还额(元),净买入(元),融券余额(元),融券余量(股),融券卖出量(股),融券偿还量(股),融券净卖出(股),融资融券余额(元),融资融券余额差值(元)

2010-03-31,3345.607,-0.6267546814276735,6495609.0,4.1477509718360554e-05,6550885.0,-,-,95037.0,3900.0,4000.0,-,-,6590646.0,6400572.0
2010-04-01,3391.935,1.3847412442644937,13714038.0,8.648256917034008e-05,9548331.0,2329902.0,7218429.0,32032.0,1300.0,0.0,2600.0,-2600.0,13746070.0,13682006.0
2010-04-02,3407.346,0.45434243285912024,13186923.0,8.280759075808805e-05,6418639.0,6945754.0,-527115.0,26017.0,1200.0,0.0,100.0,-100.0,13212940.0,13160906.0
2010-04-06,3405.145,-0.06459572934477449,14513455.0,9.111718402389174e-05,7162061.0,5835529.0,1326532.0,24202.0,1200.0,0.0,0.0,0.0,14537657.0,14489253.0
2010-04-07,3386.949,-0.5343678463031677,36602353.0,0.00023024324857217845,22235960.0,147062.0,22088898.0,47894.0,1100.0,0.0,100.0,-100.0,36650247.0,36554459.0
2010-04-08,3346.744,-1.187056551486308,44701539.0,0.00028338060042775733,11860402.0,3761216.0,8099186.0,66133.0,3100.0,2100.0,100.0,2000.0,44767672.0,44635406.0
2010-04-09,3379.17,0.9688819939618926,70396638.0,0.0004415764457416226,31434286.0,5739187.0,25695099.0,118559.0,5400.0,6700.0,4400.0,2300.0,70515197.0,70278079.0
2010-04-12,3351.478,-0.8194911768274458,113874011.0,0.0007165549645009768,50783165.0,7305792.0,43477373.0,18192.0,1000.0,2200.0,6600.0,-4400.0,113892203.0,113855819.0
2010-04-13,3391.716,1.2006046287637873,120212563.0,0.0007524505841716902,28062558.0,21724006.0,6338552.0,219635.0,1000.0,0.0,0.0,0.0,120432198.0,119992928.0
2010-04-14,3403.707,0.353537855174195,120917372.0,0.0007540077187336699,17384677.0,16679868.0,704809.0,220431.0,1000.0,0.0,0.0,0.0,121137803.0,120696941.0
2010-04-15,3394.574,-0.26832509378744995,151079574.0,0.0009448704275646488,37523959.0,7361757.0,30162202.0,368890.0,5200.0,4200.0,0.0,4200.0,151448464.0,150710684.0
2010-04-16,3356.332,-1.126562567202836,178360180.0,0.0011249279602372371,36103123.0,8822517.0,27280606.0,1296044.0,5200.0,0.0,0.0,0.0,179656224.0,177064136.0
2010-04-19,3176.423,-5.36028616954461,185858665.0,0.0012281100311173686,25181750.0,17683265.0,7498485.0,2419610.0,72900.0,118600.0,50900.0,67700.0,188278275.0,183439055.0
2010-04-20,3173.374,-0.09598847508659898,192554229.0,0.0012700597135240986,9907249.0,3211685.0,6695564.0,1826180.0,11000.0,0.0,61900.0,-61900.0,194380409.0,190728049.0
2010-04-21,3236.679,1.9948798975475315,203052194.0,0.0013110171351840602,20565674.0,10067709.0,10497965.0,3046233.0,21000.0,10000.0,0.0,10000.0,206098427.0,200005961.0
2010-04-22,3201.541,-1.0856189322450573,255823022.0,0.001663442508108316,57309568.0,4538740.0,52770828.0,3445497.0,20300.0,3200.0,3900.0,-700.0,259268519.0,252377525.0
2010-04-23,3190.003,-0.3603889501961712,260855943.0,0.001705590079141565,34191147.0,29158226.0,5032921.0,3204501.0,21000.0,10100.0,9400.0,700.0,264060444.0,257651442.0
2010-04-26,3171.997,-0.5644508798267588,291675179.0,0.0019145714629982945,43825292.0,13006056.0,30819236.0,12405136.0,69700.0,48700.0,0.0,48700.0,304080315.0,279270043.0
2010-04-27,3108.409,-2.0046677219429907,320128377.0,0.0021461249322740497,41331731.0,12878533.0,28453198.0,4299657.0,84100.0,18400.0,4000.0,14400.0,324428034.0,315828720.0
2010-04-28,3097.353,-0.3556803496579762,353372191.0,0.0023531563177458426,45850595.0,12606781.0,33243814.0,4469143.0,96800.0,50700.0,38000.0,12700.0,357841334.0,348903048.0
2010-04-29,3060.064,-1.203898942096687,367582591.0,0.002484243800357222,35753972.0,21543572.0,14210400.0,4995058.0,108800.0,13000.0,1000.0,12000.0,372577649.0,362587533.0
2010-04-30,3067.365,0.2385897811287607,381443354.0,0.0025894210631823523,46292295.0,32431532.0,13860763.0,3376335.0,39300.0,5200.0,74700.0,-69500.0,384819689.0,378067019.0
2010-05-04,3019.449,-1.562122538400223,395098986.0,0.0027158862868311355,32904814.0,19249182.0,13655632.0,4647705.0,63100.0,36300.0,12500.0,23800.0,399746691.0,390451281.0
2010-05-05,3036.394,0.5611951054646063,475709612.0,0.0032217790053943735,102673804.0,22063178.0,80610626.0,6088326.0,48300.0,6300.0,21100.0,-14800.0,481797938.0,469621286.0
